"sku";"gu_vpe";"ean";"STATUS"
"61152";"1.00";"8391135611523";"1"
"61153";"1.00";"8053626470476";"1"
"61153";"6.00";"8053626470483";"0"
"61154";"1.00";"8391135611547";"1"
"61155";"1.00";"8391135611554";"1"
"61156";"1.00";"8391135611561";"1"
"61157";"1.00";"8391135611578";"1"
"61158";"1.00";"8391135611585";"1"
"61159";"1.00";"8022589000174";"1"
"61160";"1.00";"8391135611608";"1"
"61161";"1.00";"8026967000077";"1"
"61162";"1.00";"8032745260168";"1"
"61163";"1.00";"8032745260175";"1"
"61164";"1.00";"8053626470353";"1"
"61165";"1.00";"8053626470278";"1"
"61166";"1.00";"8006074001181";"1"
"61167";"1.00";"8023354130119";"1"
"61168";"1.00";"00000000003411";"0"
"61168";"1.00";"8391135611684";"1"
"61169";"1.00";"8034076530842";"1"
"61169";"6.00";"80340765308420";"0"
"61170";"1.00";"61170";"0"
"61170";"1.00";"8391135611707";"1"
"61171";"1.00";"61171";"0"
"61171";"1.00";"8391135611714";"1"
"61172";"1.00";"61172";"0"
"61172";"1.00";"8391135611721";"1"
"61173";"1.00";"8032942480109";"1"
"61174";"1.00";"8032942480116";"1"
"61175";"1.00";"8032942480246";"1"
"61176";"1.00";"8032942480123";"1"
"61177";"1.00";"8032942480208";"1"
"61178";"1.00";"8002305003528";"1"
"61179";"1.00";"61179";"0"
"61179";"1.00";"8391135611790";"1"
"61180";"1.00";"61180";"0"
"61180";"1.00";"8391135611806";"1"
"61181";"1.00";"61181";"0"
"61181";"1.00";"8391135611813";"1"
"61182";"1.00";"61182";"0"
"61182";"1.00";"8391135611820";"1"
"61183";"1.00";"8002305008745";"1"
"61184";"1.00";"61184";"0"
"61184";"1.00";"8002305008271";"1"
"61185";"1.00";"61185";"0"
"61185";"1.00";"8391135611851";"1"
"61186";"1.00";"61186";"0"
"61186";"1.00";"8391135611868";"1"
"61187";"1.00";"61187";"0"
"61187";"1.00";"8391135611875";"1"
"61188";"1.00";"8004385032719";"1"
"61189";"1.00";"8032942480031";"1"
"61190";"1.00";"8032942480000";"1"
"61191";"1.00";"8391135611912";"1"
"61192";"1.00";"8391135611929";"1"
"61193";"1.00";"8391135611936";"1"
"61194";"1.00";"8391135611943";"1"
"62001";"1.00";"8017015634078";"1"
"62002";"1.00";"8010396000593";"1"
"62003";"1.00";"8004375306080";"1"
"62004";"1.00";"8000192006202";"1"
"62005";"1.00";"8010471001521";"1"
"62006";"1.00";"8009720634696";"1"
"62007";"1.00";"8007116000346";"1"
"62008";"1.00";"8010471002429";"1"
"62009";"1.00";"8008900001044";"1"
"62010";"1.00";"8033309580036";"1"
"62011";"1.00";"8010471001316";"1"
"62013";"1.00";"8010471002207";"1"
"62014";"1.00";"8391135620143";"1"
"62015";"1.00";"8026583000956";"1"
"62017";"1.00";"8002815404518";"1"
"62018";"1.00";"8391135620181";"1"
"62019";"1.00";"8391135620198";"1"
"62020";"1.00";"8391135620204";"1"
"62021";"1.00";"8010471002221";"1"
"62022";"1.00";"8006725100218";"1"
"62023";"1.00";"8010471001569";"1"
"62024";"1.00";"8391135620242";"1"
"62025";"1.00";"8028262000172";"1"
"62026";"1.00";"8002550501787";"1"
"62027";"1.00";"8006870350742";"1"
"62028";"1.00";"8006393300613";"1"
"62029";"1.00";"8008900001235";"1"
"62030";"1.00";"8008900001082";"1"
"62031";"1.00";"8008900001051";"1"
"62032";"1.00";"8391135620327";"1"
"62033";"1.00";"8008900005684";"1"
"62034";"1.00";"8000160645358";"1"
"62035";"1.00";"8391135620358";"1"
"62036";"1.00";"8008326161155";"1"
"62037";"1.00";"8032927450059";"1"
"62038";"1.00";"62038";"1"
"62039";"1.00";"8003295004205";"1"
"62040";"1.00";"8391135620402";"1"
"62041";"1.00";"8391135620419";"1"
"62042";"1.00";"8030773002132";"1"
"62043";"1.00";"8003969004951";"1"
"62044";"1.00";"8008983281005";"1"
"62045";"1.00";"8391135620457";"1"
"62046";"1.00";"8391135620464";"1"
"62047";"1.00";"8008983041647";"1"
"62048";"1.00";"8008983381613";"1"
"62049";"1.00";"8004291002080";"1"
"62050";"1.00";"8004291002028";"1"
"62051";"1.00";"8391135620518";"1"
"62052";"1.00";"8055965650694";"1"
"62053";"1.00";"8008900006551";"1"
"62054";"1.00";"8008900006568";"1"
"62055";"1.00";"8014253227505";"1"
"62056";"1.00";"8391135620563";"1"
"62057";"1.00";"8007880111705";"1"
"62058";"1.00";"8008530005450";"1"
"62059";"1.00";"8055965650274";"1"
"62060";"1.00";"8055965650137";"1"
"62061";"1.00";"8053626470155";"1"
"62062";"1.00";"8033224220079";"1"
"62063";"1.00";"8033224220222";"1"
"62064";"1.00";"8022589000303";"1"
"62065";"1.00";"8391135620655";"1"
"62066";"1.00";"8026967000060";"1"
"62067";"1.00";"8032745260182";"1"
"62068";"1.00";"8032745260199";"1"
"62069";"1.00";"8053626470513";"1"
"62070";"1.00";"8006074001167";"1"
"62071";"1.00";"8032942480048";"1"
"62072";"1.00";"8032942480055";"1"
"62072";"1.00";"8032942480291";"0"
"62073";"1.00";"8032942480062";"1"
"62074";"1.00";"8032942480079";"1"
"62075";"1.00";"62075";"0"
"62075";"1.00";"8391135620754";"0"
"62075";"1.00";"8032942480185";"1"
"62076";"1.00";"8032942480192";"1"
"62077";"1.00";"8002305009971";"1"
"62078";"1.00";"62078";"0"
"62078";"1.00";"8391135620785";"1"
"62079";"1.00";"62079";"0"
"62079";"1.00";"8391135620792";"1"
"62080";"1.00";"8004385031705";"1"
"62081";"1.00";"62081";"0"
"62081";"1.00";"8034076533874";"1"
